MPS Current Set,Current B,Target B,Target MPS Set
118000.666666667,-0.4587,0.509015,-134298.197530864
118000.666666667,-0.4587,0.581025,-153187.456790123
118000.666666667,-0.4587,0.65265,-172002.666666667
118000.666666667,-0.4587,0.723705,-190743.827160494
118000.666666667,-0.4587,0.79428,-209410.938271605
118000.666666667,-0.4587,0.86435,-228004
118000.666666667,-0.4587,0.933795,-246523.012345679
118000.666666667,-0.4587,1.002505,-264967.975308642
118000.666666667,-0.4587,1.07062,-283338.888888889
98148.7654320988,-0.382985,-0.30728,78370.9135802469
98148.7654320988,-0.382985,-0.231755,58667.1111111112
98148.7654320988,-0.382985,-0.156265,39037.3580246913
98148.7654320988,-0.382985,-0.08097,19481.6543209877
98148.7654320988,-0.382985,-0.006315,0
98148.7654320988,-0.382985,0.068365,-19407.6049382717
98148.7654320988,-0.382985,0.14271,-38741.1604938272
98148.7654320988,-0.382985,0.21683,-58000.6666666667
98148.7654320988,-0.382985,0.290395,-77186.1234567901
98148.7654320988,-0.382985,0.36376,-96297.5308641976
98148.7654320988,-0.382985,0.436695,-115334.888888889
98148.7654320988,-0.382985,0.509015,-134298.197530864
98148.7654320988,-0.382985,0.581025,-153187.456790123
98148.7654320988,-0.382985,0.65265,-172002.666666667
98148.7654320988,-0.382985,0.723705,-190743.827160494
98148.7654320988,-0.382985,0.79428,-209410.938271605
98148.7654320988,-0.382985,0.86435,-228004
98148.7654320988,-0.382985,0.933795,-246523.012345679
98148.7654320988,-0.382985,1.002505,-264967.975308642
98148.7654320988,-0.382985,1.07062,-283338.888888889
78370.9135802469,-0.30728,-0.231755,58667.1111111112
78370.9135802469,-0.30728,-0.156265,39037.3580246913
78370.9135802469,-0.30728,-0.08097,19481.6543209877
78370.9135802469,-0.30728,-0.006315,0
78370.9135802469,-0.30728,0.068365,-19407.6049382717
78370.9135802469,-0.30728,0.14271,-38741.1604938272
78370.9135802469,-0.30728,0.21683,-58000.6666666667
78370.9135802469,-0.30728,0.290395,-77186.1234567901
78370.9135802469,-0.30728,0.36376,-96297.5308641976
78370.9135802469,-0.30728,0.436695,-115334.888888889
78370.9135802469,-0.30728,0.509015,-134298.197530864
78370.9135802469,-0.30728,0.581025,-153187.456790123
78370.9135802469,-0.30728,0.65265,-172002.666666667
78370.9135802469,-0.30728,0.723705,-190743.827160494
78370.9135802469,-0.30728,0.79428,-209410.938271605
78370.9135802469,-0.30728,0.86435,-228004
78370.9135802469,-0.30728,0.933795,-246523.012345679
78370.9135802469,-0.30728,1.002505,-264967.975308642
78370.9135802469,-0.30728,1.07062,-283338.888888889
58667.1111111112,-0.231755,-0.156265,39037.3580246913
58667.1111111112,-0.231755,-0.08097,19481.6543209877
58667.1111111112,-0.231755,-0.006315,0
58667.1111111112,-0.231755,0.068365,-19407.6049382717
58667.1111111112,-0.231755,0.14271,-38741.1604938272
58667.1111111112,-0.231755,0.21683,-58000.6666666667
58667.1111111112,-0.231755,0.290395,-77186.1234567901
58667.1111111112,-0.231755,0.36376,-96297.5308641976
